#	old_rank	structure_name	score
0	199	ranked_199.pdb_clean_haddock.pdb	-76.71950000000001
1	251	ranked_251.pdb_clean_haddock.pdb	-76.08134
2	206	ranked_206.pdb_clean_haddock.pdb	-74.60096
3	338	ranked_338.pdb_clean_haddock.pdb	-74.04264
4	105	ranked_105.pdb_clean_haddock.pdb	-73.04046
5	291	ranked_291.pdb_clean_haddock.pdb	-72.14644
6	34	ranked_34.pdb_clean_haddock.pdb	-71.90872
7	0	ranked_0.pdb_clean_haddock.pdb	-71.76520000000001
8	252	ranked_252.pdb_clean_haddock.pdb	-71.0761
9	557	ranked_557.pdb_clean_haddock.pdb	-69.92984
10	182	ranked_182.pdb_clean_haddock.pdb	-69.7907
11	40	ranked_40.pdb_clean_haddock.pdb	-69.7607
12	481	ranked_481.pdb_clean_haddock.pdb	-68.63927999999999
13	142	ranked_142.pdb_clean_haddock.pdb	-68.41982
14	128	ranked_128.pdb_clean_haddock.pdb	-68.19734
15	63	ranked_63.pdb_clean_haddock.pdb	-68.0651
16	210	ranked_210.pdb_clean_haddock.pdb	-67.83024
17	143	ranked_143.pdb_clean_haddock.pdb	-67.7348
18	450	ranked_450.pdb_clean_haddock.pdb	-67.69448
19	334	ranked_334.pdb_clean_haddock.pdb	-67.32146
20	5	ranked_5.pdb_clean_haddock.pdb	-66.87020000000001
21	162	ranked_162.pdb_clean_haddock.pdb	-66.8321
22	46	ranked_46.pdb_clean_haddock.pdb	-66.81414000000001
23	65	ranked_65.pdb_clean_haddock.pdb	-66.7305
24	99	ranked_99.pdb_clean_haddock.pdb	-66.41756000000001
25	559	ranked_559.pdb_clean_haddock.pdb	-66.24722
26	211	ranked_211.pdb_clean_haddock.pdb	-65.99192
27	15	ranked_15.pdb_clean_haddock.pdb	-65.75934000000001
28	92	ranked_92.pdb_clean_haddock.pdb	-65.60408000000001
29	61	ranked_61.pdb_clean_haddock.pdb	-65.595
30	118	ranked_118.pdb_clean_haddock.pdb	-65.28506
31	401	ranked_401.pdb_clean_haddock.pdb	-65.2036
32	8	ranked_8.pdb_clean_haddock.pdb	-65.20197999999999
33	255	ranked_255.pdb_clean_haddock.pdb	-65.16824
34	399	ranked_399.pdb_clean_haddock.pdb	-65.04364
35	196	ranked_196.pdb_clean_haddock.pdb	-64.98956
36	214	ranked_214.pdb_clean_haddock.pdb	-64.76974
37	55	ranked_55.pdb_clean_haddock.pdb	-64.612
38	13	ranked_13.pdb_clean_haddock.pdb	-64.5805
39	62	ranked_62.pdb_clean_haddock.pdb	-64.38732
40	24	ranked_24.pdb_clean_haddock.pdb	-64.3839
41	246	ranked_246.pdb_clean_haddock.pdb	-64.38262
42	11	ranked_11.pdb_clean_haddock.pdb	-64.3378
43	10	ranked_10.pdb_clean_haddock.pdb	-64.24806000000001
44	29	ranked_29.pdb_clean_haddock.pdb	-64.05842000000001
45	77	ranked_77.pdb_clean_haddock.pdb	-64.03753999999999
46	380	ranked_380.pdb_clean_haddock.pdb	-63.97756
47	270	ranked_270.pdb_clean_haddock.pdb	-63.94672
48	4	ranked_4.pdb_clean_haddock.pdb	-63.78428
49	466	ranked_466.pdb_clean_haddock.pdb	-63.77854
50	632	ranked_632.pdb_clean_haddock.pdb	-63.76374
51	362	ranked_362.pdb_clean_haddock.pdb	-63.72145999999999
52	288	ranked_288.pdb_clean_haddock.pdb	-63.709959999999995
53	3	ranked_3.pdb_clean_haddock.pdb	-63.58286
54	33	ranked_33.pdb_clean_haddock.pdb	-63.37154
55	238	ranked_238.pdb_clean_haddock.pdb	-63.2745
56	67	ranked_67.pdb_clean_haddock.pdb	-63.16630000000001
57	262	ranked_262.pdb_clean_haddock.pdb	-63.1411
58	178	ranked_178.pdb_clean_haddock.pdb	-63.08574
59	96	ranked_96.pdb_clean_haddock.pdb	-63.06776
60	1	ranked_1.pdb_clean_haddock.pdb	-63.064840000000004
61	393	ranked_393.pdb_clean_haddock.pdb	-63.0501
62	12	ranked_12.pdb_clean_haddock.pdb	-63.01617999999999
63	133	ranked_133.pdb_clean_haddock.pdb	-62.95986
64	14	ranked_14.pdb_clean_haddock.pdb	-62.8784
65	317	ranked_317.pdb_clean_haddock.pdb	-62.82314
66	90	ranked_90.pdb_clean_haddock.pdb	-62.804
67	233	ranked_233.pdb_clean_haddock.pdb	-62.7915
68	294	ranked_294.pdb_clean_haddock.pdb	-62.686600000000006
69	69	ranked_69.pdb_clean_haddock.pdb	-62.595699999999994
70	87	ranked_87.pdb_clean_haddock.pdb	-62.52007999999999
71	21	ranked_21.pdb_clean_haddock.pdb	-62.46312
72	16	ranked_16.pdb_clean_haddock.pdb	-62.15686
73	942	ranked_942.pdb_clean_haddock.pdb	-62.0762
74	122	ranked_122.pdb_clean_haddock.pdb	-62.054700000000004
75	369	ranked_369.pdb_clean_haddock.pdb	-61.86936
76	23	ranked_23.pdb_clean_haddock.pdb	-61.8398
77	108	ranked_108.pdb_clean_haddock.pdb	-61.656099999999995
78	205	ranked_205.pdb_clean_haddock.pdb	-61.50214
79	17	ranked_17.pdb_clean_haddock.pdb	-61.492639999999994
80	824	ranked_824.pdb_clean_haddock.pdb	-61.42328
81	22	ranked_22.pdb_clean_haddock.pdb	-61.3917
82	671	ranked_671.pdb_clean_haddock.pdb	-61.351659999999995
83	591	ranked_591.pdb_clean_haddock.pdb	-61.280919999999995
84	242	ranked_242.pdb_clean_haddock.pdb	-61.152879999999996
85	98	ranked_98.pdb_clean_haddock.pdb	-61.106320000000004
86	104	ranked_104.pdb_clean_haddock.pdb	-61.09948
