#	old_rank	structure_name	score
0	477	ranked_477.pdb_clean_haddock.pdb	-208.3294
1	420	ranked_420.pdb_clean_haddock.pdb	-201.6571
2	6	ranked_6.pdb_clean_haddock.pdb	-201.59730000000002
3	287	ranked_287.pdb_clean_haddock.pdb	-200.92069999999998
4	247	ranked_247.pdb_clean_haddock.pdb	-200.76839999999999
5	225	ranked_225.pdb_clean_haddock.pdb	-200.76799999999997
6	782	ranked_782.pdb_clean_haddock.pdb	-200.7561
7	235	ranked_235.pdb_clean_haddock.pdb	-200.131
8	809	ranked_809.pdb_clean_haddock.pdb	-199.66299999999998
9	294	ranked_294.pdb_clean_haddock.pdb	-199.4393
10	46	ranked_46.pdb_clean_haddock.pdb	-199.3601
11	539	ranked_539.pdb_clean_haddock.pdb	-199.2337
12	533	ranked_533.pdb_clean_haddock.pdb	-198.9966
13	388	ranked_388.pdb_clean_haddock.pdb	-198.83
14	318	ranked_318.pdb_clean_haddock.pdb	-198.7561
15	203	ranked_203.pdb_clean_haddock.pdb	-198.6086
16	465	ranked_465.pdb_clean_haddock.pdb	-198.3261
17	639	ranked_639.pdb_clean_haddock.pdb	-198.26680000000002
18	567	ranked_567.pdb_clean_haddock.pdb	-198.039
19	53	ranked_53.pdb_clean_haddock.pdb	-198.02089999999998
20	306	ranked_306.pdb_clean_haddock.pdb	-197.6064
21	431	ranked_431.pdb_clean_haddock.pdb	-197.5303
22	141	ranked_141.pdb_clean_haddock.pdb	-197.4839
23	263	ranked_263.pdb_clean_haddock.pdb	-197.41510000000002
24	110	ranked_110.pdb_clean_haddock.pdb	-197.3512
25	281	ranked_281.pdb_clean_haddock.pdb	-197.33370000000002
26	291	ranked_291.pdb_clean_haddock.pdb	-197.3216
27	311	ranked_311.pdb_clean_haddock.pdb	-197.2132
28	883	ranked_883.pdb_clean_haddock.pdb	-197.20229999999998
29	633	ranked_633.pdb_clean_haddock.pdb	-196.97260000000003
30	28	ranked_28.pdb_clean_haddock.pdb	-196.90840000000003
31	9	ranked_9.pdb_clean_haddock.pdb	-196.9022
32	644	ranked_644.pdb_clean_haddock.pdb	-196.7874
33	160	ranked_160.pdb_clean_haddock.pdb	-196.7751
34	120	ranked_120.pdb_clean_haddock.pdb	-196.675
35	183	ranked_183.pdb_clean_haddock.pdb	-196.4872
36	88	ranked_88.pdb_clean_haddock.pdb	-196.4787
37	560	ranked_560.pdb_clean_haddock.pdb	-196.4497
38	41	ranked_41.pdb_clean_haddock.pdb	-196.43230000000003
39	528	ranked_528.pdb_clean_haddock.pdb	-196.33300000000003
40	655	ranked_655.pdb_clean_haddock.pdb	-196.2584
41	372	ranked_372.pdb_clean_haddock.pdb	-195.94279999999998
42	249	ranked_249.pdb_clean_haddock.pdb	-195.9291
43	333	ranked_333.pdb_clean_haddock.pdb	-195.89600000000002
44	96	ranked_96.pdb_clean_haddock.pdb	-195.83960000000002
45	219	ranked_219.pdb_clean_haddock.pdb	-195.77380000000002
46	279	ranked_279.pdb_clean_haddock.pdb	-195.6712
47	267	ranked_267.pdb_clean_haddock.pdb	-195.6427
48	629	ranked_629.pdb_clean_haddock.pdb	-195.6301
49	84	ranked_84.pdb_clean_haddock.pdb	-195.6013
50	156	ranked_156.pdb_clean_haddock.pdb	-195.5769
51	439	ranked_439.pdb_clean_haddock.pdb	-195.5257
52	47	ranked_47.pdb_clean_haddock.pdb	-195.43599999999998
53	233	ranked_233.pdb_clean_haddock.pdb	-195.4297
54	186	ranked_186.pdb_clean_haddock.pdb	-195.3877
55	297	ranked_297.pdb_clean_haddock.pdb	-195.37980000000002
56	63	ranked_63.pdb_clean_haddock.pdb	-195.3781
57	414	ranked_414.pdb_clean_haddock.pdb	-195.32819999999998
58	158	ranked_158.pdb_clean_haddock.pdb	-195.1939
59	121	ranked_121.pdb_clean_haddock.pdb	-195.1743
60	65	ranked_65.pdb_clean_haddock.pdb	-195.1664
61	356	ranked_356.pdb_clean_haddock.pdb	-195.0445
62	507	ranked_507.pdb_clean_haddock.pdb	-195.0348
63	49	ranked_49.pdb_clean_haddock.pdb	-194.93210000000002
64	197	ranked_197.pdb_clean_haddock.pdb	-194.9119
65	166	ranked_166.pdb_clean_haddock.pdb	-194.7306
66	222	ranked_222.pdb_clean_haddock.pdb	-194.6665
67	101	ranked_101.pdb_clean_haddock.pdb	-194.6329
68	216	ranked_216.pdb_clean_haddock.pdb	-194.45450000000002
69	691	ranked_691.pdb_clean_haddock.pdb	-194.4448
70	346	ranked_346.pdb_clean_haddock.pdb	-194.1817
71	149	ranked_149.pdb_clean_haddock.pdb	-194.1286
72	307	ranked_307.pdb_clean_haddock.pdb	-194.1113
73	931	ranked_931.pdb_clean_haddock.pdb	-193.9778
74	213	ranked_213.pdb_clean_haddock.pdb	-193.9673
75	537	ranked_537.pdb_clean_haddock.pdb	-193.9335
76	185	ranked_185.pdb_clean_haddock.pdb	-193.61719999999997
77	450	ranked_450.pdb_clean_haddock.pdb	-193.54680000000002
78	481	ranked_481.pdb_clean_haddock.pdb	-193.53549999999998
79	494	ranked_494.pdb_clean_haddock.pdb	-193.5173
80	348	ranked_348.pdb_clean_haddock.pdb	-193.5098
81	493	ranked_493.pdb_clean_haddock.pdb	-193.4309
82	580	ranked_580.pdb_clean_haddock.pdb	-193.42140000000003
83	118	ranked_118.pdb_clean_haddock.pdb	-193.35170000000002
84	413	ranked_413.pdb_clean_haddock.pdb	-193.327
85	60	ranked_60.pdb_clean_haddock.pdb	-193.28199999999998
86	246	ranked_246.pdb_clean_haddock.pdb	-193.2681
