#	old_rank	structure_name	score
0	225	ranked_225.pdb_clean_haddock.pdb	-69.80636000000001
1	288	ranked_288.pdb_clean_haddock.pdb	-63.49926000000001
2	332	ranked_332.pdb_clean_haddock.pdb	-62.1031
3	146	ranked_146.pdb_clean_haddock.pdb	-61.387100000000004
4	389	ranked_389.pdb_clean_haddock.pdb	-60.72994
5	362	ranked_362.pdb_clean_haddock.pdb	-60.37792
6	220	ranked_220.pdb_clean_haddock.pdb	-59.32004
7	173	ranked_173.pdb_clean_haddock.pdb	-59.14266
8	281	ranked_281.pdb_clean_haddock.pdb	-58.731539999999995
9	241	ranked_241.pdb_clean_haddock.pdb	-57.93738
10	113	ranked_113.pdb_clean_haddock.pdb	-56.856
11	453	ranked_453.pdb_clean_haddock.pdb	-56.147000000000006
12	347	ranked_347.pdb_clean_haddock.pdb	-56.08558000000001
13	336	ranked_336.pdb_clean_haddock.pdb	-55.48014
14	413	ranked_413.pdb_clean_haddock.pdb	-55.43282000000001
15	418	ranked_418.pdb_clean_haddock.pdb	-54.58654
16	370	ranked_370.pdb_clean_haddock.pdb	-53.99848000000001
17	519	ranked_519.pdb_clean_haddock.pdb	-53.86762
18	62	ranked_62.pdb_clean_haddock.pdb	-52.111900000000006
19	443	ranked_443.pdb_clean_haddock.pdb	-52.10174
20	538	ranked_538.pdb_clean_haddock.pdb	-52.06626
21	440	ranked_440.pdb_clean_haddock.pdb	-51.81686
22	472	ranked_472.pdb_clean_haddock.pdb	-51.63292
23	275	ranked_275.pdb_clean_haddock.pdb	-51.461980000000004
24	261	ranked_261.pdb_clean_haddock.pdb	-51.0
25	476	ranked_476.pdb_clean_haddock.pdb	-50.516239999999996
26	864	ranked_864.pdb_clean_haddock.pdb	-50.00242
27	436	ranked_436.pdb_clean_haddock.pdb	-49.84278
28	412	ranked_412.pdb_clean_haddock.pdb	-47.9481
29	710	ranked_710.pdb_clean_haddock.pdb	-47.280339999999995
30	302	ranked_302.pdb_clean_haddock.pdb	-46.954
31	471	ranked_471.pdb_clean_haddock.pdb	-46.84144
32	327	ranked_327.pdb_clean_haddock.pdb	-46.79402
33	287	ranked_287.pdb_clean_haddock.pdb	-46.68924
34	814	ranked_814.pdb_clean_haddock.pdb	-46.096940000000004
