#  old_rank	structure_name		score
107	568	ranked_568.pdb_clean	-41.55470674704321
108	42	ranked_42.pdb_clean	-39.609414683891806
109	738	ranked_738.pdb_clean	-39.16971783654112
110	164	ranked_164.pdb_clean	-37.83667188339408
111	470	ranked_470.pdb_clean	-36.980192488357794
112	622	ranked_622.pdb_clean	-35.997640575152836
113	490	ranked_490.pdb_clean	-31.52163973389672
114	481	ranked_481.pdb_clean	-31.271013744656155
115	0	ranked_0.pdb_clean	-29.113635296056295
116	385	ranked_385.pdb_clean	-28.19292364539031
117	518	ranked_518.pdb_clean	-26.022556061823572
118	13	ranked_13.pdb_clean	-25.798656071759716
119	645	ranked_645.pdb_clean	-25.751241083839908
120	889	ranked_889.pdb_clean	-23.819135957861135
121	534	ranked_534.pdb_clean	-23.197946254791127
122	573	ranked_573.pdb_clean	-22.93480652309966
123	411	ranked_411.pdb_clean	-22.512955507259612
124	473	ranked_473.pdb_clean	-21.811832972396402
125	771	ranked_771.pdb_clean	-21.305370766081097
126	105	ranked_105.pdb_clean	-20.68074574780026
127	677	ranked_677.pdb_clean	-20.585939126914397
128	731	ranked_731.pdb_clean	-20.488650828372606
129	627	ranked_627.pdb_clean	-19.953577947388233
130	813	ranked_813.pdb_clean	-19.507899165872338
131	407	ranked_407.pdb_clean	-17.40448549132406
132	739	ranked_739.pdb_clean	-16.37803669208003
133	901	ranked_901.pdb_clean	-15.923141705997082
134	666	ranked_666.pdb_clean	-15.42105328759034
135	676	ranked_676.pdb_clean	-15.248108857121125
136	495	ranked_495.pdb_clean	-14.52805546946805
137	389	ranked_389.pdb_clean	-14.335748125084336
138	2	ranked_2.pdb_clean	-14.093650756119303
139	612	ranked_612.pdb_clean	-13.872148182487607
140	701	ranked_701.pdb_clean	-11.959161374839269
141	708	ranked_708.pdb_clean	-11.558064929659487
142	535	ranked_535.pdb_clean	-11.379293479545574
143	613	ranked_613.pdb_clean	-10.511588428937571
144	133	ranked_133.pdb_clean	-10.488424438456107
145	526	ranked_526.pdb_clean	-10.486247402364526
146	702	ranked_702.pdb_clean	-9.769600697626935
147	597	ranked_597.pdb_clean	-8.670330777100673
148	582	ranked_582.pdb_clean	-8.640089374411872
149	443	ranked_443.pdb_clean	-8.326218295734904
150	437	ranked_437.pdb_clean	-8.170510994421548
151	415	ranked_415.pdb_clean	-8.123284078923056
152	448	ranked_448.pdb_clean	-6.8645296396354
153	779	ranked_779.pdb_clean	-6.812250493266426
154	457	ranked_457.pdb_clean	-6.310403771602097
155	479	ranked_479.pdb_clean	-6.1291552067585044
156	693	ranked_693.pdb_clean	-5.734474528281737
157	59	ranked_59.pdb_clean	-5.648316127725323
158	114	ranked_114.pdb_clean	-3.6272073359788664
159	401	ranked_401.pdb_clean	-3.5997357709355384
160	453	ranked_453.pdb_clean	-2.4502720502532895
161	394	ranked_394.pdb_clean	-1.262420486318959
162	397	ranked_397.pdb_clean	0.18772332564104488
163	524	ranked_524.pdb_clean	1.428639192196755
164	504	ranked_504.pdb_clean	1.752038781530402
165	767	ranked_767.pdb_clean	3.8099039581120735
166	451	ranked_451.pdb_clean	4.267268417174641
167	700	ranked_700.pdb_clean	4.655819168204012
168	454	ranked_454.pdb_clean	4.815756825929469
169	723	ranked_723.pdb_clean	4.902946300983018
170	412	ranked_412.pdb_clean	5.079388187640333
171	544	ranked_544.pdb_clean	5.973082245281873
172	301	ranked_301.pdb_clean	6.1718292239819945
173	679	ranked_679.pdb_clean	6.538912215978883
174	61	ranked_61.pdb_clean	6.80081075197522
175	469	ranked_469.pdb_clean	7.559964771243095
176	522	ranked_522.pdb_clean	10.067520889213831
177	467	ranked_467.pdb_clean	10.109475122389043
178	165	ranked_165.pdb_clean	10.340770414756115
179	177	ranked_177.pdb_clean	10.863704059313982
180	601	ranked_601.pdb_clean	11.016764578308965
181	678	ranked_678.pdb_clean	11.543640312288545
182	489	ranked_489.pdb_clean	12.448787107475582
183	67	ranked_67.pdb_clean	13.278865527535004
184	426	ranked_426.pdb_clean	15.478133205269216
185	35	ranked_35.pdb_clean	17.92364733303296
186	662	ranked_662.pdb_clean	18.813550478145956
187	959	ranked_959.pdb_clean	19.302411093578755
188	398	ranked_398.pdb_clean	19.98829542685351
189	802	ranked_802.pdb_clean	21.146320215592198
190	970	ranked_970.pdb_clean	21.397687945573708
191	816	ranked_816.pdb_clean	23.086482484456198
192	71	ranked_71.pdb_clean	23.197440569440204
193	417	ranked_417.pdb_clean	24.458294818931364
194	697	ranked_697.pdb_clean	24.612108858055635
195	710	ranked_710.pdb_clean	25.28126392351622
196	705	ranked_705.pdb_clean	29.520178227747934
197	806	ranked_806.pdb_clean	30.159885675312694
198	476	ranked_476.pdb_clean	31.555870914016353
199	127	ranked_127.pdb_clean	36.11569300932331
200	405	ranked_405.pdb_clean	36.99324529179259
201	820	ranked_820.pdb_clean	38.01996651524199
202	717	ranked_717.pdb_clean	40.379894054477944
203	520	ranked_520.pdb_clean	41.32871795242883
204	26	ranked_26.pdb_clean	43.233239744712094
205	651	ranked_651.pdb_clean	43.83550225722588
206	667	ranked_667.pdb_clean	44.509334281917106
207	561	ranked_561.pdb_clean	45.08939210801276
208	673	ranked_673.pdb_clean	47.04306680215623
209	65	ranked_65.pdb_clean	47.910612097985705
210	438	ranked_438.pdb_clean	48.80085651706452
211	363	ranked_363.pdb_clean	49.89944543490628
212	536	ranked_536.pdb_clean	51.69897328371292
213	604	ranked_604.pdb_clean	54.4538174352932
214	555	ranked_555.pdb_clean	54.629212978553426
215	809	ranked_809.pdb_clean	55.15737300574236
216	531	ranked_531.pdb_clean	57.118059294275525
217	608	ranked_608.pdb_clean	59.909287175590265
218	7	ranked_7.pdb_clean	60.17736798246747
219	789	ranked_789.pdb_clean	61.822292337543814
220	848	ranked_848.pdb_clean	64.00377270251364
221	545	ranked_545.pdb_clean	64.27543044742363
222	630	ranked_630.pdb_clean	65.12928766931209
223	96	ranked_96.pdb_clean	66.08672187488784
224	429	ranked_429.pdb_clean	67.6222131876132
225	818	ranked_818.pdb_clean	69.41719100035374
226	44	ranked_44.pdb_clean	70.94550204022435
227	106	ranked_106.pdb_clean	72.31507468067238
228	786	ranked_786.pdb_clean	73.26105458226193
229	956	ranked_956.pdb_clean	73.3539453443975
230	615	ranked_615.pdb_clean	74.59484282712245
231	987	ranked_987.pdb_clean	76.90546149167143
232	502	ranked_502.pdb_clean	78.07330045703455
233	70	ranked_70.pdb_clean	78.45767898476913
234	550	ranked_550.pdb_clean	80.33853221390729
235	584	ranked_584.pdb_clean	80.68766357393255
236	642	ranked_642.pdb_clean	81.745148072967
237	538	ranked_538.pdb_clean	81.85630170939976
238	929	ranked_929.pdb_clean	83.7468101763937
239	575	ranked_575.pdb_clean	84.14668142479567
240	596	ranked_596.pdb_clean	87.29444895194865
241	38	ranked_38.pdb_clean	88.51162050240242
242	629	ranked_629.pdb_clean	93.63954108422837
243	711	ranked_711.pdb_clean	93.99844685560643
244	118	ranked_118.pdb_clean	95.28955180954989
245	272	ranked_272.pdb_clean	96.18005000199909
246	278	ranked_278.pdb_clean	98.6459520263046
247	821	ranked_821.pdb_clean	102.7537374385735
248	335	ranked_335.pdb_clean	103.26192558141076
249	696	ranked_696.pdb_clean	103.53427983336636
250	342	ranked_342.pdb_clean	104.69252147879877
251	248	ranked_248.pdb_clean	106.22662204957851
252	626	ranked_626.pdb_clean	106.41339604277675
253	317	ranked_317.pdb_clean	106.50421277967638
254	326	ranked_326.pdb_clean	109.2473776659561
255	266	ranked_266.pdb_clean	109.88731587402998
256	459	ranked_459.pdb_clean	110.71382168844173
257	637	ranked_637.pdb_clean	110.9541481114943
258	441	ranked_441.pdb_clean	111.13974598608695
259	749	ranked_749.pdb_clean	111.37565702216659
260	680	ranked_680.pdb_clean	112.14239927905103
261	111	ranked_111.pdb_clean	113.21434674609304
262	825	ranked_825.pdb_clean	113.99514068606655
263	399	ranked_399.pdb_clean	115.19983033335728
264	291	ranked_291.pdb_clean	115.23440105480896
265	316	ranked_316.pdb_clean	115.98126200232903
266	99	ranked_99.pdb_clean	116.75954203461899
267	290	ranked_290.pdb_clean	118.59304657408896
268	205	ranked_205.pdb_clean	119.10353526140392
269	309	ranked_309.pdb_clean	120.71781587884331
270	280	ranked_280.pdb_clean	120.75140307902984
271	532	ranked_532.pdb_clean	122.87487510484095
272	336	ranked_336.pdb_clean	124.59650176863383
273	235	ranked_235.pdb_clean	126.30752312196438
274	740	ranked_740.pdb_clean	127.02246380509803
275	203	ranked_203.pdb_clean	127.28364826762143
276	323	ranked_323.pdb_clean	127.3071357463611
277	920	ranked_920.pdb_clean	127.90862649926109
278	362	ranked_362.pdb_clean	128.75776616728092
279	377	ranked_377.pdb_clean	130.4801554658722
280	758	ranked_758.pdb_clean	130.55457504658966
281	755	ranked_755.pdb_clean	130.89389558010618
282	25	ranked_25.pdb_clean	131.04616181436148
283	338	ranked_338.pdb_clean	131.4432465784873
284	404	ranked_404.pdb_clean	131.64941370250824
285	339	ranked_339.pdb_clean	132.71704293624876
286	395	ranked_395.pdb_clean	132.80228961237302
287	293	ranked_293.pdb_clean	133.1151268497014
288	468	ranked_468.pdb_clean	133.96745180048504
289	217	ranked_217.pdb_clean	134.0622634321026
290	227	ranked_227.pdb_clean	135.12750792256026
291	611	ranked_611.pdb_clean	136.2974874627527
292	423	ranked_423.pdb_clean	136.90054294942013
293	237	ranked_237.pdb_clean	137.57155111443112
294	471	ranked_471.pdb_clean	137.81085791522736
295	593	ranked_593.pdb_clean	137.82532444246684
296	289	ranked_289.pdb_clean	138.62108683018377
297	257	ranked_257.pdb_clean	138.68279442632468
298	319	ranked_319.pdb_clean	138.8391842140298
299	870	ranked_870.pdb_clean	138.88174991459465
300	273	ranked_273.pdb_clean	139.1000573505233
301	784	ranked_784.pdb_clean	140.8289044603417
302	340	ranked_340.pdb_clean	141.62591764451238
303	684	ranked_684.pdb_clean	142.00449164460483
304	329	ranked_329.pdb_clean	142.28524708387096
305	378	ranked_378.pdb_clean	142.447756123313
306	671	ranked_671.pdb_clean	142.49531724873972
307	380	ranked_380.pdb_clean	142.64019747407676
308	523	ranked_523.pdb_clean	142.82693447478866
309	303	ranked_303.pdb_clean	142.8552952823406
310	506	ranked_506.pdb_clean	142.97138991805633
311	661	ranked_661.pdb_clean	143.49795744088334
312	20	ranked_20.pdb_clean	143.6518239797899
313	868	ranked_868.pdb_clean	143.71992916777893
314	770	ranked_770.pdb_clean	143.77964390920442
