#  old_rank	structure_name		score
107	319	ranked_319.pdb_clean	-352.9235341831953
108	257	ranked_257.pdb_clean	-352.9200403938212
109	515	ranked_515.pdb_clean	-352.9106026607019
110	41	ranked_41.pdb_clean	-352.7086210016259
111	606	ranked_606.pdb_clean	-352.6657434428139
112	392	ranked_392.pdb_clean	-352.5928618994024
113	55	ranked_55.pdb_clean	-352.09762426767224
114	744	ranked_744.pdb_clean	-351.82233187277154
115	693	ranked_693.pdb_clean	-351.56323670768165
116	409	ranked_409.pdb_clean	-351.4014122484995
117	219	ranked_219.pdb_clean	-350.9272380009261
118	402	ranked_402.pdb_clean	-350.5303816719019
119	568	ranked_568.pdb_clean	-350.2804428816424
120	565	ranked_565.pdb_clean	-350.19896772989415
121	184	ranked_184.pdb_clean	-350.1636109076393
122	361	ranked_361.pdb_clean	-350.0129881217962
123	494	ranked_494.pdb_clean	-349.89441828982405
124	587	ranked_587.pdb_clean	-349.88817788559993
125	520	ranked_520.pdb_clean	-349.8011484556903
126	133	ranked_133.pdb_clean	-349.6091732838906
127	236	ranked_236.pdb_clean	-349.59890233269556
128	380	ranked_380.pdb_clean	-349.14103721475817
129	275	ranked_275.pdb_clean	-348.52681912887897
130	89	ranked_89.pdb_clean	-348.4528338202023
131	612	ranked_612.pdb_clean	-347.9928873934386
132	740	ranked_740.pdb_clean	-347.9504058976787
133	340	ranked_340.pdb_clean	-347.9492507431028
134	461	ranked_461.pdb_clean	-347.6078545224288
135	43	ranked_43.pdb_clean	-347.5355217300744
136	643	ranked_643.pdb_clean	-347.3511915691884
137	53	ranked_53.pdb_clean	-347.35017074196946
138	607	ranked_607.pdb_clean	-347.29139578719287
139	196	ranked_196.pdb_clean	-347.26329174612914
140	626	ranked_626.pdb_clean	-347.2514008302966
141	490	ranked_490.pdb_clean	-346.600358459072
142	272	ranked_272.pdb_clean	-346.4981512029344
143	241	ranked_241.pdb_clean	-346.39920464611805
144	168	ranked_168.pdb_clean	-346.3594239250727
145	39	ranked_39.pdb_clean	-346.1609921160158
146	521	ranked_521.pdb_clean	-345.871094850111
147	352	ranked_352.pdb_clean	-345.71815073266885
148	730	ranked_730.pdb_clean	-345.5381972820275
149	90	ranked_90.pdb_clean	-345.1425789268328
150	172	ranked_172.pdb_clean	-345.1361273266761
151	634	ranked_634.pdb_clean	-345.0343868547959
152	496	ranked_496.pdb_clean	-344.89719682677435
153	85	ranked_85.pdb_clean	-344.74366249785385
154	59	ranked_59.pdb_clean	-344.73985641905546
155	677	ranked_677.pdb_clean	-344.28759124905434
156	630	ranked_630.pdb_clean	-344.27361665349855
157	296	ranked_296.pdb_clean	-343.5987181229019
158	117	ranked_117.pdb_clean	-343.39839582262414
159	278	ranked_278.pdb_clean	-343.37087536605253
160	517	ranked_517.pdb_clean	-342.8879714689514
161	263	ranked_263.pdb_clean	-342.71620938422785
162	561	ranked_561.pdb_clean	-342.5351228676063
163	353	ranked_353.pdb_clean	-342.5088435953733
164	207	ranked_207.pdb_clean	-342.41479812106576
165	269	ranked_269.pdb_clean	-342.3528758004797
166	582	ranked_582.pdb_clean	-342.33824882856993
167	531	ranked_531.pdb_clean	-342.32183930387237
168	129	ranked_129.pdb_clean	-342.1601046602974
169	686	ranked_686.pdb_clean	-341.94656699218996
170	93	ranked_93.pdb_clean	-341.6214985442924
171	802	ranked_802.pdb_clean	-341.6091114328618
172	451	ranked_451.pdb_clean	-341.4344393599316
173	613	ranked_613.pdb_clean	-341.19820153804716
174	120	ranked_120.pdb_clean	-341.0208906065368
175	239	ranked_239.pdb_clean	-340.9810414118668
176	559	ranked_559.pdb_clean	-340.8082609253763
177	502	ranked_502.pdb_clean	-340.6046075477648
178	320	ranked_320.pdb_clean	-340.5560811729531
179	137	ranked_137.pdb_clean	-340.3411770053993
180	194	ranked_194.pdb_clean	-340.3278627275929
181	123	ranked_123.pdb_clean	-340.1770794176051
182	242	ranked_242.pdb_clean	-340.15479550501726
183	583	ranked_583.pdb_clean	-340.1087441857496
184	122	ranked_122.pdb_clean	-339.6821136621377
185	109	ranked_109.pdb_clean	-339.5657089299217
186	284	ranked_284.pdb_clean	-339.45143122757673
187	274	ranked_274.pdb_clean	-339.44469375042064
188	280	ranked_280.pdb_clean	-339.25657499858795
189	255	ranked_255.pdb_clean	-339.07561690431817
190	684	ranked_684.pdb_clean	-339.03324033363214
191	135	ranked_135.pdb_clean	-338.65977071907395
192	279	ranked_279.pdb_clean	-338.62307861905714
193	671	ranked_671.pdb_clean	-338.5117968594364
194	391	ranked_391.pdb_clean	-338.40850291418957
195	119	ranked_119.pdb_clean	-338.2393304445305
196	174	ranked_174.pdb_clean	-337.6856760140024
197	692	ranked_692.pdb_clean	-337.5407349062995
198	443	ranked_443.pdb_clean	-337.5383547758001
199	610	ranked_610.pdb_clean	-337.37081471952735
200	153	ranked_153.pdb_clean	-337.3091195003136
201	495	ranked_495.pdb_clean	-337.1217147206629
202	595	ranked_595.pdb_clean	-336.98990987764273
203	155	ranked_155.pdb_clean	-336.69036349347175
204	128	ranked_128.pdb_clean	-336.51693059180917
205	715	ranked_715.pdb_clean	-336.26103491959884
206	593	ranked_593.pdb_clean	-336.25043893880206
207	46	ranked_46.pdb_clean	-335.8533996313529
208	163	ranked_163.pdb_clean	-335.39190432364086
209	254	ranked_254.pdb_clean	-334.8608803792259
210	317	ranked_317.pdb_clean	-334.82469279434554
211	571	ranked_571.pdb_clean	-334.81247225036765
212	335	ranked_335.pdb_clean	-334.65225534442897
213	190	ranked_190.pdb_clean	-334.64592975778413
214	627	ranked_627.pdb_clean	-334.63370543648904
215	261	ranked_261.pdb_clean	-334.6064237305503
216	689	ranked_689.pdb_clean	-334.5165039325626
217	136	ranked_136.pdb_clean	-334.38977602196843
218	52	ranked_52.pdb_clean	-334.1845133712133
219	857	ranked_857.pdb_clean	-333.9698097019983
220	501	ranked_501.pdb_clean	-333.5969714016464
221	97	ranked_97.pdb_clean	-333.35101866261095
222	144	ranked_144.pdb_clean	-332.7386487248587
223	82	ranked_82.pdb_clean	-332.5639415554229
224	256	ranked_256.pdb_clean	-332.44369874045003
225	173	ranked_173.pdb_clean	-332.365340425797
226	116	ranked_116.pdb_clean	-332.01233264514025
227	491	ranked_491.pdb_clean	-331.8770324072444
228	725	ranked_725.pdb_clean	-331.79471973233643
229	579	ranked_579.pdb_clean	-331.7749500903647
230	619	ranked_619.pdb_clean	-331.7376431805021
231	104	ranked_104.pdb_clean	-331.7229476254454
232	223	ranked_223.pdb_clean	-331.3628057388339
233	290	ranked_290.pdb_clean	-331.3203020907888
234	748	ranked_748.pdb_clean	-331.0317195914631
235	657	ranked_657.pdb_clean	-330.97042654402696
236	214	ranked_214.pdb_clean	-330.8123752567355
237	440	ranked_440.pdb_clean	-330.70407773204863
238	40	ranked_40.pdb_clean	-330.59690566364327
239	389	ranked_389.pdb_clean	-330.2243981280115
240	208	ranked_208.pdb_clean	-330.1587823305713
241	78	ranked_78.pdb_clean	-330.1184350674614
242	708	ranked_708.pdb_clean	-330.08094860368806
243	699	ranked_699.pdb_clean	-329.7130982183097
244	166	ranked_166.pdb_clean	-329.42851487188557
245	195	ranked_195.pdb_clean	-329.2268750504333
246	351	ranked_351.pdb_clean	-329.0638533658426
247	80	ranked_80.pdb_clean	-329.0061404144864
248	728	ranked_728.pdb_clean	-328.9990538224726
249	249	ranked_249.pdb_clean	-328.98254309215434
250	149	ranked_149.pdb_clean	-328.6213402826296
251	603	ranked_603.pdb_clean	-328.4132025212645
252	139	ranked_139.pdb_clean	-328.30421397378916
253	69	ranked_69.pdb_clean	-328.23834733023045
254	283	ranked_283.pdb_clean	-328.22287092466445
255	293	ranked_293.pdb_clean	-328.16609243554944
256	202	ranked_202.pdb_clean	-327.9967532413696
257	469	ranked_469.pdb_clean	-327.955149488464
258	424	ranked_424.pdb_clean	-327.3504926280943
259	107	ranked_107.pdb_clean	-327.0156961782285
260	341	ranked_341.pdb_clean	-327.0108786480332
261	308	ranked_308.pdb_clean	-326.00427977521605
262	645	ranked_645.pdb_clean	-325.9761870697143
263	437	ranked_437.pdb_clean	-325.8983604772346
264	810	ranked_810.pdb_clean	-325.84262225967086
265	449	ranked_449.pdb_clean	-325.7286979464084
266	672	ranked_672.pdb_clean	-325.3320186924004
267	833	ranked_833.pdb_clean	-325.19029174480227
268	464	ranked_464.pdb_clean	-325.1632140900587
269	152	ranked_152.pdb_clean	-325.10320648494877
270	641	ranked_641.pdb_clean	-325.0681922345249
271	179	ranked_179.pdb_clean	-325.063342373674
272	809	ranked_809.pdb_clean	-324.8823033286685
273	387	ranked_387.pdb_clean	-324.7985505649705
274	300	ranked_300.pdb_clean	-324.65248860916114
275	132	ranked_132.pdb_clean	-324.47598289044777
276	180	ranked_180.pdb_clean	-324.3484325654692
277	594	ranked_594.pdb_clean	-324.1031082328929
278	663	ranked_663.pdb_clean	-324.04908463421776
279	664	ranked_664.pdb_clean	-323.80509437478275
280	31	ranked_31.pdb_clean	-323.7059919322479
281	475	ranked_475.pdb_clean	-323.6856923588628
282	148	ranked_148.pdb_clean	-323.35187569028676
283	248	ranked_248.pdb_clean	-323.31686767387487
284	58	ranked_58.pdb_clean	-322.981874407428
285	177	ranked_177.pdb_clean	-322.8794253619409
286	306	ranked_306.pdb_clean	-322.691924775023
287	545	ranked_545.pdb_clean	-322.61973071490877
288	235	ranked_235.pdb_clean	-322.1762210405935
289	363	ranked_363.pdb_clean	-321.50947325382356
290	574	ranked_574.pdb_clean	-321.2342809929806
291	505	ranked_505.pdb_clean	-321.15089586913166
292	782	ranked_782.pdb_clean	-320.8443295502889
293	209	ranked_209.pdb_clean	-320.80474189449876
294	73	ranked_73.pdb_clean	-320.7939739600936
295	259	ranked_259.pdb_clean	-320.7862786300728
296	64	ranked_64.pdb_clean	-320.71472037733815
297	165	ranked_165.pdb_clean	-320.67938157603805
298	51	ranked_51.pdb_clean	-320.1295293028758
299	74	ranked_74.pdb_clean	-320.05588084828895
300	345	ranked_345.pdb_clean	-320.0389496047746
301	147	ranked_147.pdb_clean	-319.82477660877146
302	329	ranked_329.pdb_clean	-319.80619176947664
303	160	ranked_160.pdb_clean	-319.3647606221711
304	851	ranked_851.pdb_clean	-319.19471516620405
305	145	ranked_145.pdb_clean	-319.18862176184956
306	86	ranked_86.pdb_clean	-319.06226726239913
307	146	ranked_146.pdb_clean	-318.9439856575825
308	216	ranked_216.pdb_clean	-318.7039435012963
309	189	ranked_189.pdb_clean	-318.6716882245802
310	650	ranked_650.pdb_clean	-318.51534621436787
311	298	ranked_298.pdb_clean	-318.50111898810457
312	399	ranked_399.pdb_clean	-318.4336245365523
313	365	ranked_365.pdb_clean	-318.42817976707903
314	470	ranked_470.pdb_clean	-318.3766404049394
315	88	ranked_88.pdb_clean	-317.9895089620894
316	866	ranked_866.pdb_clean	-317.62854800846196
317	564	ranked_564.pdb_clean	-317.39782152942075
318	292	ranked_292.pdb_clean	-317.3288543491425
319	887	ranked_887.pdb_clean	-317.1226095088269
320	105	ranked_105.pdb_clean	-316.91529028270514
321	397	ranked_397.pdb_clean	-316.85183875598625
322	445	ranked_445.pdb_clean	-316.74393550794275
323	536	ranked_536.pdb_clean	-316.59918385732357
324	719	ranked_719.pdb_clean	-316.57875368518177
325	253	ranked_253.pdb_clean	-316.4580245350535
326	735	ranked_735.pdb_clean	-316.34812946743216
327	113	ranked_113.pdb_clean	-316.32928166577483
328	211	ranked_211.pdb_clean	-316.2900567992091
329	486	ranked_486.pdb_clean	-316.0586908522752
330	158	ranked_158.pdb_clean	-315.151086199974
331	342	ranked_342.pdb_clean	-315.12813543444315
332	716	ranked_716.pdb_clean	-315.0532624548496
333	796	ranked_796.pdb_clean	-315.0305996238018
334	198	ranked_198.pdb_clean	-314.7871017060951
335	649	ranked_649.pdb_clean	-314.45943865495946
336	192	ranked_192.pdb_clean	-314.37069000436713
337	185	ranked_185.pdb_clean	-314.1649629436538
338	15	ranked_15.pdb_clean	-314.1538934017933
339	247	ranked_247.pdb_clean	-314.0044155286513
340	448	ranked_448.pdb_clean	-313.95576627990584
341	410	ranked_410.pdb_clean	-313.85461341018504
342	7	ranked_7.pdb_clean	-313.8433284332326
343	121	ranked_121.pdb_clean	-313.7972599767062
344	48	ranked_48.pdb_clean	-313.79628809490737
345	98	ranked_98.pdb_clean	-313.262564704709
346	569	ranked_569.pdb_clean	-313.0571007015809
347	576	ranked_576.pdb_clean	-312.79330680872937
348	350	ranked_350.pdb_clean	-312.61943686089086
349	233	ranked_233.pdb_clean	-312.43215602938477
350	761	ranked_761.pdb_clean	-312.26076559888503
351	551	ranked_551.pdb_clean	-312.13309840196797
352	94	ranked_94.pdb_clean	-312.0602532520668
353	141	ranked_141.pdb_clean	-311.81147509539056
354	0	ranked_0.pdb_clean	-311.6408819761481
355	138	ranked_138.pdb_clean	-311.4011579159142
356	125	ranked_125.pdb_clean	-311.3773133892146
357	333	ranked_333.pdb_clean	-311.23663445165823
358	213	ranked_213.pdb_clean	-311.2316431675387
359	72	ranked_72.pdb_clean	-311.1950078454161
360	68	ranked_68.pdb_clean	-311.1261857738296
361	83	ranked_83.pdb_clean	-310.9072316664138
362	277	ranked_277.pdb_clean	-310.8268268346878
363	609	ranked_609.pdb_clean	-310.226989399243
364	767	ranked_767.pdb_clean	-309.9978003676874
365	819	ranked_819.pdb_clean	-309.89665778330755
366	200	ranked_200.pdb_clean	-309.83426255789885
367	206	ranked_206.pdb_clean	-309.7909701230843
368	755	ranked_755.pdb_clean	-309.46056016562363
369	467	ranked_467.pdb_clean	-309.1606054948382
370	460	ranked_460.pdb_clean	-308.9653958308612
371	10	ranked_10.pdb_clean	-308.6114330852899
372	359	ranked_359.pdb_clean	-308.0091614402938
373	343	ranked_343.pdb_clean	-307.8779855432319
374	19	ranked_19.pdb_clean	-307.73460677490186
375	407	ranked_407.pdb_clean	-307.44443618137836
376	827	ranked_827.pdb_clean	-307.4145147928691
377	245	ranked_245.pdb_clean	-306.5789204251921
378	127	ranked_127.pdb_clean	-306.5535600100911
379	622	ranked_622.pdb_clean	-306.53869786465646
380	691	ranked_691.pdb_clean	-306.5221142360553
381	271	ranked_271.pdb_clean	-306.3808329839766
382	325	ranked_325.pdb_clean	-306.0852567808309
383	24	ranked_24.pdb_clean	-306.0307253561783
384	115	ranked_115.pdb_clean	-305.94877106538513
385	411	ranked_411.pdb_clean	-305.84188576835254
386	252	ranked_252.pdb_clean	-305.78723511829486
387	462	ranked_462.pdb_clean	-305.53637707202586
388	404	ranked_404.pdb_clean	-305.31483574520524
389	268	ranked_268.pdb_clean	-305.21967704669316
390	170	ranked_170.pdb_clean	-305.0727886584625
391	36	ranked_36.pdb_clean	-304.4929173036997
392	487	ranked_487.pdb_clean	-304.39602111607076
393	164	ranked_164.pdb_clean	-304.0747391226841
394	124	ranked_124.pdb_clean	-303.9700468098247
395	563	ranked_563.pdb_clean	-303.69852183041036
396	156	ranked_156.pdb_clean	-303.68974219080405
397	826	ranked_826.pdb_clean	-303.08986015298086
398	3	ranked_3.pdb_clean	-302.9184609164737
399	457	ranked_457.pdb_clean	-302.58477442220163
400	246	ranked_246.pdb_clean	-302.4724192640892
401	266	ranked_266.pdb_clean	-302.3983292803389
402	712	ranked_712.pdb_clean	-301.6120947205433
403	22	ranked_22.pdb_clean	-301.4316676524617
404	309	ranked_309.pdb_clean	-301.30621936592235
405	557	ranked_557.pdb_clean	-300.8315463486269
406	651	ranked_651.pdb_clean	-300.7696676896144
407	514	ranked_514.pdb_clean	-300.48198466403977
408	91	ranked_91.pdb_clean	-300.4366048353756
409	151	ranked_151.pdb_clean	-300.3226977951419
410	303	ranked_303.pdb_clean	-300.2128283387818
411	9	ranked_9.pdb_clean	-300.08047007949745
412	251	ranked_251.pdb_clean	-299.8458144472249
